Precio,NCuartos,Area,NBaños,Distrito,Amoblado,Mantenimiento,Cochera,Azotea
1100.0,3,142,2.5,Miraflores,Amoblado: Sin amoblar,525,2,si
1100.0,3,120,2,Miraflores,Amoblado: Amoblado,350,2,no
1000.0,2,70,2,Lince,Amoblado: Amoblado,340,1,no
850.0,2,100,2,Magdalena del Mar,Amoblado: Amoblado,412,1,no
900.0,2,80,2,Miraflores,Amoblado: Amoblado,350,1,si
950.0,3,160,3,Santiago de Surco,Amoblado: Sin amoblar,570,2,no
361.36,1,41,1,San Miguel,Amoblado: Sin amoblar,120,,no
1175.0,2,140,3,Miraflores,Amoblado: Amoblado,600,2,no
1100.0,3,120,2.5,Miraflores,Amoblado: Amoblado,650,2,no
520.0,1,50,1,Barranco,Amoblado: Amoblado,160,,no
850.0,2,100,3,Miraflores,,,,no
639.33,3,100,2,Santiago de Surco,Amoblado: Semi-amoblado,350,,no
1200.0,3,180,4,Santiago de Surco,Amoblado: Amoblado,180,2,no
555.94,2,45,2,Cercado de Lima,Amoblado: Amoblado,180,,no
472.55,2,74,2,Chorrillos,,90,,no
750.0,1,50,1,Barranco,Amoblado: Semi-amoblado,300,1,no
1400.0,2,145,,Santiago de Surco,Amoblado: Sin amoblar,510,2,no
750.0,1,50,1,Miraflores,Amoblado: Amoblado,350,1,no
800.0,3,128,3,Santiago de Surco,Amoblado: Sin amoblar,350,2,no
1250.0,3,160,2,San Isidro,Amoblado: Sin amoblar,320,2,no
750.0,2,98,2,San Isidro,Amoblado: Sin amoblar,,1,si
1900.0,3,285,4,Santiago de Surco,Amoblado: Sin amoblar,1,2,no
1100.0,3,204,4,Miraflores,Amoblado: Sin amoblar,650,2,no
555.94,3,95,2,Santiago de Surco,,150,1,no
514.24,3,95,2,Santiago de Surco,,150,1,no
825.0,2,65,1,Miraflores,Amoblado: Amoblado,130,,no
486.45,3,95,2,Santiago de Surco,,150,,no
850.0,2,100,2,San Isidro,Amoblado: Amoblado,570,,si
625.0,1,50,2,Jesus Maria,Amoblado: Amoblado,160,,no
555.94,3,95,2,Santiago de Surco,,150,1,no
806.11,2,90,3,Miraflores,Amoblado: Amoblado,350,1,no
639.33,3,110,2,Santiago de Surco,,150,,no
666.85,3,95,2,Jesus Maria,Amoblado: Sin amoblar,280,1,no
416.96,2,54,1,Chorrillos,,90,,no
528.14,2,60,1,Miraflores,Amoblado: Sin amoblar,150,1,si
750.0,3,90,2,Santiago de Surco,Amoblado: Sin amoblar,,,no
550.0,2,60,2,San Miguel,Amoblado: Sin amoblar,,1,no
750.0,2,90,1.5,Miraflores,Amoblado: Amoblado,300,1,no
1000.0,3,120,2.5,Miraflores,Amoblado: Amoblado,400,1,no
416.96,1,41,1,Santiago de Surco,Amoblado: Sin amoblar,105,,no
555.94,4,130,3,Santiago de Surco,,1,1,no
700.0,3,100,2,Santiago de Surco,Amoblado: Sin amoblar,300,1,no
700.0,3,110,2,Santiago de Surco,Amoblado: Sin amoblar,260,1,no
625.43,3,90,2,Lince,Amoblado: Amoblado,200,,no
950.0,2,70,2,Miraflores,Amoblado: Amoblado,,1,no
700.0,3,120,3,Santiago de Surco,,150,1,no
542.04,3,117,1.5,Surquillo,Amoblado: Sin amoblar,50,1,no
1000.0,3,117,3,Miraflores,Amoblado: Amoblado,550,2,no
189.02,1,50,1,Santiago de Surco,,1,,no
900.0,4,100,2,Miraflores,Amoblado: Amoblado,200,1,no
750.0,1,75,1,San Isidro,,,,no
1500.0,3,165,3,Miraflores,Amoblado: Amoblado,300,,no
650.0,1,50,1,San Isidro,Amoblado: Amoblado,195,1,si
208.48,1,50,1,Santiago de Surco,,,,no
1000.0,2,87,2,Miraflores,Amoblado: Amoblado,156,,no
400.0,2,55,1,Miraflores,Amoblado: Amoblado,,,no
700.0,1,60,1,Miraflores,Amoblado: Amoblado,200,,si
1100.0,3,106,2,Miraflores,Amoblado: Amoblado,300,1,no
420.0,2,60,2,Miraflores,Amoblado: Amoblado,,,no
630.99,2,75,1,Miraflores,Amoblado: Sin amoblar,,1,no
700.0,3,106,3,Miraflores,Amoblado: Sin amoblar,350,1,no
778.32,3,103,2.5,Santiago de Surco,Amoblado: Sin amoblar,350,1,no
472.55,1,65,2,Santiago de Surco,Amoblado: Semi-amoblado,50,,si
350.0,1,45,1,Miraflores,Amoblado: Amoblado,,,no
650.0,1,53,1,Miraflores,Amoblado: Amoblado,260,1,no
1190.0,3,200,4,San Borja,,450,2,no
1100.0,3,200,3,Santiago de Surco,Amoblado: Sin amoblar,170,1,no
850.0,3,164,2,Miraflores,Amoblado: Amoblado,450,2,no
1100.0,1,80,1.5,Barranco,Amoblado: Amoblado,380,1,no
500.0,1,50,1,Miraflores,Amoblado: Amoblado,245,,si
1300.0,2,108,3,Miraflores,Amoblado: Amoblado,650,2,no
750.0,2,110,2,San Isidro,Amoblado: Amoblado,250,,no
600.0,1,50,,Miraflores,Amoblado: Amoblado,240,1,no
920.0,3,96,2,San Borja,,300,2,no
529.0,1,50,1,San Isidro,Amoblado: Semi-amoblado,215,1,no
820.0,2,74,2,San Isidro,Amoblado: Amoblado,320,,no
800.0,2,110,3,Miraflores,Amoblado: Amoblado,480,,no
800.0,3,120,2,Barranco,Amoblado: Sin amoblar,300,1,no
785.0,2,83,2,Miraflores,Amoblado: Sin amoblar,548,1,no
1600.0,3,400,3,Chorrillos,Amoblado: Sin amoblar,700,1,no
694.93,1,50,1,Miraflores,Amoblado: Amoblado,230,1,no
800.0,3,90,3,Miraflores,Amoblado: Amoblado,334,1,si
1050.0,3,156,2,San Isidro,Amoblado: Semi-amoblado,300,1,no
1000.0,2,90,3,Miraflores,Amoblado: Amoblado,,,no
800.0,2,110,3,Miraflores,Amoblado: Amoblado,480,1,no
1300.0,3,180,4,Santiago de Surco,Amoblado: Sin amoblar,,,no
990.0,3,125,2,Miraflores,Amoblado: Sin amoblar,440,1,no
950.0,3,130,2,Santiago de Surco,Amoblado: Semi-amoblado,300,1,no
1200.0,3,111,2,San Borja,Amoblado: Sin amoblar,,1,no
600.0,1,60,2,Magdalena del Mar,Amoblado: Semi-amoblado,236,1,no
1000.0,3,100,2,Miraflores,Amoblado: Sin amoblar,340,1,no
800.0,2,90,2,San Isidro,Amoblado: Sin amoblar,300,1,no
