,Precio,NCuartos,Area,NBaños,Distrito,Amoblado,Cochera,Azotea,zona,con_cochera
249,850.0,2.0,100.0,2.0,Miraflores,0.0,2.0,0,7,1
250,750.0,1.0,51.0,2.0,San Isidro,2.0,2.0,0,7,1
251,1100.0,2.0,100.0,3.0,Miraflores,0.0,2.0,0,7,1
252,850.0,3.0,92.0,2.0,Miraflores,2.0,2.0,0,7,1
253,750.0,1.0,50.0,1.5,Barranco,2.0,1.0,0,8,1
254,750.0,1.0,54.0,1.0,San Isidro,2.0,2.0,0,7,1
255,850.0,1.0,76.0,2.0,Miraflores,2.0,1.0,0,7,1
256,700.0,2.0,57.0,2.0,Lince,2.0,0.0,0,6,0
257,1400.0,3.0,230.0,3.5,Santiago de Surco,1.0,2.0,0,7,1
258,750.0,1.0,48.0,1.0,San Isidro,2.0,1.0,0,7,1
259,1800.0,4.0,222.0,3.5,San Isidro,0.0,2.0,0,7,1
260,1350.0,3.0,180.0,2.5,Miraflores,0.0,0.0,0,7,0
261,850.0,3.0,110.0,3.0,La Molina,0.0,0.0,0,7,0
262,700.0,2.0,124.0,1.5,Santiago de Surco,0.0,1.0,0,7,1
263,850.0,2.0,100.0,2.0,Santiago de Surco,2.0,1.0,1,7,1
264,472.55,3.0,92.0,3.0,Santiago de Surco,0.0,0.0,0,7,0
265,1100.0,3.0,180.0,3.0,Santiago de Surco,1.0,2.0,0,7,1
266,1350.0,3.0,160.0,2.5,Santiago de Surco,2.0,2.0,0,7,1
267,800.0,3.0,82.0,2.0,Surquillo,0.0,1.0,0,8,1
268,900.0,1.0,100.0,2.0,San Isidro,1.0,2.0,0,7,1
269,747.74,3.0,90.0,2.0,Miraflores,2.0,1.0,0,7,1
270,778.32,3.0,146.0,3.0,Santiago de Surco,0.0,1.0,0,7,1
271,520.0,1.0,40.0,1.0,Jesus Maria,0.0,1.0,1,6,1
273,333.56,2.0,51.0,2.0,Los Olivos,1.0,0.0,0,2,0
274,1300.0,3.0,160.0,2.5,La Molina,2.0,2.0,0,7,1
275,900.0,2.0,84.0,2.0,Miraflores,2.0,1.0,0,7,1
276,600.0,1.0,60.0,1.0,Miraflores,2.0,1.0,0,7,1
277,694.93,3.0,90.0,2.0,San Miguel,2.0,1.0,0,6,1
278,305.77,3.0,82.0,2.0,Los Olivos,0.0,1.0,1,2,1
279,1050.0,3.0,187.0,3.0,Miraflores,2.0,1.0,0,7,1
280,525.36,1.0,50.0,1.0,Miraflores,2.0,1.0,0,7,1
281,950.0,3.0,114.0,3.0,Miraflores,2.0,1.0,0,7,1
282,880.0,2.0,100.0,2.0,Santiago de Surco,0.0,1.0,0,7,1
283,980.0,4.0,238.0,3.5,Santiago de Surco,0.0,0.0,1,7,0
284,667.13,2.0,100.0,1.0,San Borja,0.0,1.0,0,7,1
285,1190.0,1.0,92.0,2.0,Barranco,2.0,1.0,0,8,1
286,650.0,2.0,71.0,2.0,La Molina,0.0,1.0,0,7,1
287,1500.0,3.0,145.0,3.0,San Isidro,2.0,1.0,0,7,1
288,820.01,3.0,110.0,4.0,Miraflores,0.0,1.0,0,7,1
289,65.0,3.0,115.0,2.0,Miraflores,2.0,0.0,0,7,0
